Id,Address1,Address2,FloorCount,Latitude,Longitude
430177,The Square,"Moretonhampstead, South West, TQ13 8, South West, United Kingdom",3,50.660852,-3.76498
430196,11 Berkeley St,"London, London, W1J 8, Greater London, United Kingdom",6,51.5081594,-0.1428097
430198,Eddystone Rd,"Totton, South East, SO40 2, South East, United Kingdom",1,50.93432619,-1.507109761
430732,,United Kingdom,,55.378051,-3.435973
430735,25-29 Causeyside St,"Paisley, Scotland, PA1 1, Scotland, United Kingdom",5,55.8438056,-4.4232454
430849,36 Mill St,"Alloa, Scotland, FK10 1, Scotland, United Kingdom",,56.1147942,-3.7913155
431859,Science Park S,"Warrington, North West, WA3 6, Manchester/NW, United Kingdom",2,53.424983,-2.527087
432032,,United Kingdom,,55.378051,-3.435973
432089,Trafalgar Pl,"Brighton, South East, BN1 4, South East, United Kingdom",6,50.828983,-0.139687
432511,Kent Rd,"Southampton, South East, SO17 2, South East, United Kingdom",,50.9279,-1.3836
432519,11 Bowling Green Ln,"London, London, EC1R 0, Greater London, United Kingdom",,51.5242934,-0.1074551
432520,30-32 Grays Inn Rd,"London, London, EC1N 7, Greater London, United Kingdom",,51.5192342,-0.1115854
432521,13 Northburgh St,"London, London, EC1V 0, Greater London, United Kingdom",3,51.5239475,-0.1001086
430850,5 W Blackhall St,"Greenock, Scotland, PA15 1, Scotland, United Kingdom",,55.9494478,-4.7607542
430851,2-6 Leonard St,"Perth, Scotland, PH2 8, Scotland, United Kingdom",,56.394539,-3.437296
430877,Rye Close,"Fleet, South East, GU51 2, South East, United Kingdom",3,51.299051,-0.823959
430878,Colchester Rd,"Havering, London, RM3 8, Greater London, United Kingdom",1,51.592558,0.215573
430879,Hambridge Ln,"Newbury, South East, RG14 5, South East, United Kingdom",,51.3983896,-1.2916576
430880,101 St Martins Ln,"London, London, WC2N 4, Greater London, United Kingdom",7,51.5103665,-0.1271152
430199,59-60 Pall Mall,"London, London, SW1A 1, Greater London, United Kingdom",8,51.50552709,-0.137634394
430200,161-179 Hallgate,"Cottingham, Yorkshire and The Humber, HU16 4, Yorkshire/NE, United Kingdom",2,53.781858,-0.4155477
430269,11 Thistle Place,"Aberdeen, Scotland, AB10 1, Scotland, United Kingdom",3,57.1433487,-2.1121566
432528,1 Newfoundland St,"Bristol, South West, BS2 9, South West, United Kingdom",4,51.4601419,-2.5833149
432645,12-22 Newhall St,"Birmingham, West Midlands, B3 2, Birmingham/Midlands, United Kingdom",10,52.481418,-1.902168
432647,,United Kingdom,,55.378051,-3.435973
432094,Empress Approach,"London, London, W14 9, Greater London, United Kingdom",31,51.487259,-0.199771
432123,97 - 107 Hagley Road,"Birmingham, West Midlands, B16 8, Birmingham/Midlands, United Kingdom",,52.471871,-1.930828
432197,,United Kingdom,,55.378051,-3.435973
430884,Glencoe Rd,"Hillingdon, London, UB4 9, Greater London, United Kingdom",1,51.523235,-0.387787
430891,Imberhorne Ln,"East Grinstead, South East, RH19 1, South East, United Kingdom","1,2",51.13532216,-0.038151741
430893,Garrick Rd,"Barnet, London, NW4 1, Greater London, United Kingdom",2,51.590489,-0.216524
430894,109 High St,"Cheltenham, South West, GL52 2, South West, United Kingdom",3,51.89942551,-2.07229948
430895,,United Kingdom,,55.378051,-3.435973
430897,109-119 Queen St,"Cardiff, Wales, CF10 2, Wales, United Kingdom",5,51.4829555,-3.1732195
432650,,United Kingdom,,55.378051,-3.435973
432697,East Marsh,"Carmarthen, Wales, SA33 4, Wales, United Kingdom",,51.74423,-4.476492
432698,,United Kingdom,,55.378051,-3.435973
432707,29 Lonmay Pl,"Glasgow, Scotland, G33 4, Scotland, United Kingdom",,55.8657387,-4.1474347
430270,46 Bath St,"Glasgow, Scotland, G2 1, Scotland, United Kingdom",6,55.8638704,-4.255213
430284,Tribune Way,"York, Yorkshire and The Humber, YO30 4, Yorkshire/NE, United Kingdom",2,53.98546196,-1.092834539
430289,8 Ruby Place,"Aberdeen, Scotland, AB10 1, Scotland, United Kingdom",,57.14696,-2.106403
430292,180 Great Portland St,"London, London, W1W 5, Greater London, United Kingdom",6,51.521675,-0.143273
430396,218 St John St,"London, London, EC1V 4, Greater London, United Kingdom",4,51.5253195,-0.1036212
430397,Standing Way,"Milton Keynes, South East, MK4 3, South East, United Kingdom",1,51.99186532,-0.785002652
430432,Kingsclere Rd,"Basingstoke, South East, RG21 5, South East, United Kingdom",2,51.272217,-1.100934
432709,27 Lonmay Pl,"Glasgow, Scotland, G33 4, Scotland, United Kingdom",,55.8657387,-4.1474347
432713,19-21 Lonmay Pl,"Glasgow, Scotland, G33 4, Scotland, United Kingdom",,55.865738,-4.1473279
432749,Deanfoot Rd,"West Linton, Scotland, EH46 7, Scotland, United Kingdom",,55.754681,-3.350523
432805,Edward St,"Birmingham, West Midlands, B1 2, Birmingham/Midlands, United Kingdom",3,52.4815,-1.9127
432207,,United Kingdom,,55.378051,-3.435973
432216,Penny St,"Blackburn, North West, BB1 6, Manchester/NW, United Kingdom",3,53.75069,-2.478533
432219,2-3 East St,"Chichester, South East, PO19 1, South East, United Kingdom",,50.8365749,-0.7782796
432221,,United Kingdom,,55.378051,-3.435973
432224,,United Kingdom,,55.378051,-3.435973
432383,M74,"Moffat, Scotland, DG10 9, Scotland, United Kingdom",2,55.32489634,-3.475799561
432397,230 Blackfriars Rd,"London, London, SE1 0, Greater London, United Kingdom",9,51.5059203,-0.1042284
430907,15-25 Carlton Ct,"Glasgow, Scotland, G5 9, Scotland, United Kingdom",3,55.8542707,-4.2577245
430908,6 Wested Ln,"Swanley, South East, BR8 8, South East, United Kingdom",1,51.387629,0.189922
430909,Courteney Rd,"Gillingham, South East, ME8 0, South East, United Kingdom",1,51.364235,0.580366
430910,Mansfield Rd,"Mansfield, East Midlands, NG20 0, Birmingham/Midlands, United Kingdom",1,53.1972,-1.1629
430911,22-23 Old Burlington St,"London, London, W1S 2, Greater London, United Kingdom",,51.51125685,-0.141674791
430921,Newmarket Rd,"Cambridge, East of England, CB5 8, East of England, United Kingdom",1,52.210001,0.146855
430463,134-152 Balham High Rd,"London, London, SW12 9, Greater London, United Kingdom",,51.4449935,-0.1517774
430493,Gemini Cres,"Dundee, Scotland, DD2 1, Scotland, United Kingdom",2,56.46188754,-3.0505357
430497,8 George St,"Armadale, Scotland, EH48 3, Scotland, United Kingdom",,55.898028,-3.701989
432426,Manchester Rd,"Bolton, North West, BL2 1, Manchester/NW, United Kingdom",1,53.572703,-2.423161
432453,Works Rd,"Letchworth, East of England, SG6 1, East of England, United Kingdom",,51.98289189,-0.216914234
432480,Loyal Rd,"Alyth, Scotland, PH11 8, Scotland, United Kingdom",2,56.627657,-3.228995
430923,Worthington Way,"Burton upon Trent, West Midlands, DE14 1, Birmingham/Midlands, United Kingdom",1,52.804552,-1.630343
430925,2 Lansdowne Rd,"Croydon, London, CR0 2, Greater London, United Kingdom",8,51.37627029,-0.096522696
430971,Houghton Hall Park,"Houghton Regis, East of England, LU5 5, East of England, United Kingdom",2,51.9004067,-0.5092182
432806,1 George Yard,"London, London, EC3V 9, Greater London, United Kingdom",7,51.5128122,-0.0855183
432807,130 Jermyn St,"London, London, SW1Y 4, Greater London, United Kingdom",7,51.5094808,-0.1331622
432866,120 London Wall,"London, London, EC2Y 9, Greater London, United Kingdom",16,51.5178,-0.0896
430498,52 Dockhead St,"Saltcoats, Scotland, KA21 5, Scotland, United Kingdom",,55.6327612,-4.786483
430499,29 Dockhead St,"Saltcoats, Scotland, KA21 5, Scotland, United Kingdom",,55.6330444,-4.7870752
430510,Westerton Rd,"Broxburn, Scotland, EH52 5, Scotland, United Kingdom",2,55.937432,-3.446129
430973,2 St Georges Way,"Leicester, East Midlands, LE1 1, Birmingham/Midlands, United Kingdom",1,52.63224,-1.1272116
430987,18-19 Sidney St,"Cambridge, East of England, CB2 3, East of England, United Kingdom",3,52.206548,0.120329
430988,Melford Rd,"Bellshill, Scotland, ML4 3, Scotland, United Kingdom",,55.82553,-4.043819
432910,Springfield St,"Market Harborough, East Midlands, LE16 8, Birmingham/Midlands, United Kingdom",1,52.47590941,-0.917363272
432913,51-55 Above Bar St,"Southampton, South East, SO14 7, South East, United Kingdom",1,50.9044253,-1.4047026
