Id|Address1|Address2|FloorCount|Latitude|Longitude
430177|The Square|Moretonhampstead, South West, United Kingdom|3|50.660852|-3.76498
430196|11 Berkeley St|London, London, W1J 8, Greater London, United Kingdom|6|51.5081594|-0.1428097
430198|Eddystone Rd|Totton, South East, SO40 2, South East, United Kingdom|1|50.93432619|-1.507109761
430732||United Kingdom||55.378051|-3.435973
430735|25-29 Causeyside St|Paisley, Scotland, PA1 1, Scotland, United Kingdom|5|55.8438056|-4.4232454
430849|36 Mill St|Alloa, Scotland, FK10 1, Scotland, United Kingdom||56.1147942|-3.7913155
431859|Science Park S|Warrington, North West, WA3 6, Manchester/NW, United Kingdom|2|53.424983|-2.527087
432032||United Kingdom||55.378051|-3.435973
432089|Trafalgar Pl|Brighton, South East, BN1 4, South East, United Kingdom|6|50.828983|-0.139687
432511|Kent Rd|Southampton, South East, SO17 2, South East, United Kingdom||50.9279|-1.3836
